REG_ID,REG_NAME
0,전국
L1000000,경기도
L1010000,광명
L1010000,과천
L1010000,안산
L1010000,시흥
L1010000,부천
L1010000,김포
L1110000,인천
L1110000,강화
L1010000,동두천
L1010000,연천
L1010000,포천
L1010000,가평
L1010000,고양
L1010000,양주
L1010000,의정부
L1010000,파주
L1010000,수원
L1010000,성남
L1010000,안양
L1010000,구리
L1010000,남양주
L1010000,오산
L1010000,평택
L1010000,군포
L1010000,의왕
L1010000,하남
L1010000,용인
L1010000,이천
L1010000,안성
L1010000,화성
L1010000,여주
L1010000,광주
L1010000,양평
L1110000,옹진
L1000000,서해5도
L1014000,서해5도
L1000000,강원도
L1020000,강릉평지
L1020000,동해평지
L1020000,태백
L1020000,삼척평지
L1020000,속초평지
L1020000,고성평지
L1020000,양양평지
L1020000,영월
L1020000,평창평지
L1020000,정선평지
L1020000,횡성
L1020000,원주
L1020000,철원
L1020000,화천
L1020000,홍천평지
L1020000,춘천
L1020000,양구평지
L1020000,인제평지
L1020000,강원북부산지
L1020000,강원중부산지
L1020000,강원남부산지
L1000000,충청남도
L1120000,대전
L1030000,천안
L1030000,공주
L1030000,아산
L1030000,논산
L1030000,금산
L1030000,부여
L1030000,청양
L1030000,예산
L1030000,태안
L1030000,당진
L1030000,서산
L1030000,보령
L1030000,서천
L1030000,홍성
L1030000,계룡
L1170000,세종
L1000000,충청북도
L1040000,청주
L1040000,보은
L1040000,괴산
L1040000,옥천
L1040000,영동
L1040000,충주
L1040000,제천
L1040000,진천
L1040000,음성
L1040000,단양
L1040000,증평
L1000000,전라남도
L1130000,광주
L1050000,나주
L1050000,담양
L1050000,곡성
L1050000,구례
L1050000,장성
L1050000,화순
L1050000,고흥
L1050000,보성
L1050000,여수
L1050000,광양
L1050000,순천
L1050000,장흥
L1050000,강진
L1050000,해남
L1050000,완도
L1050000,영암
L1050000,무안
L1050000,함평
L1050000,영광
L1050000,목포
L1050000,신안(흑산면제외)
L1050000,진도
L1000000,흑산도.홍도
L1052400,흑산도.홍도
L1050000,거문도.초도
L1000000,전북자치도
L1060000,고창
L1060000,부안
L1060000,군산
L1060000,김제
L1060000,완주
L1060000,진안
L1060000,무주
L1060000,장수
L1060000,임실
L1060000,순창
L1060000,익산
L1060000,정읍
L1060000,전주
L1060000,남원
L1000000,경상북도
L1140000,대구
L1140000,군위
L1070000,구미
L1070000,영천
L1070000,경산
L1070000,청도
L1070000,고령
L1070000,성주
L1070000,칠곡
L1070000,김천
L1070000,상주
L1070000,문경
L1070000,예천
L1070000,안동
L1070000,영주
L1070000,의성
L1070000,청송
L1070000,영양평지
L1070000,봉화평지
L1600000,울릉도.독도
L1070000,영덕
L1070000,울진평지
L1070000,포항
L1070000,경주
L1070000,경북북동산지
L1000000,경상남도
L1080000,양산
L1080000,창원
L1080000,김해
L1080000,밀양
L1080000,의령
L1080000,함안
L1080000,창녕
L1080000,진주
L1080000,하동
L1080000,산청
L1080000,함양
L1080000,거창
L1080000,합천
L1080000,통영
L1080000,사천
L1080000,거제
L1080000,고성
L1080000,남해
L1150000,부산동부
L1150000,부산중부
L1150000,부산서부
L1160000,울산동부
L1160000,울산서부
L1000000,제주도
L1090000,제주도산지
L1090000,제주도서부
L1090000,제주도북부
L1090000,제주도동부
L1090000,제주도남부
L1090000,추자도
L1090000,제주도북부중산간
L1090000,제주도남부중산간
L1000000,서울
L1100000,서울동남권
L1100000,서울동북권
L1100000,서울서남권
L1100000,서울서북권
L1000000,인천
L1000000,대전
L1000000,광주
L1000000,대구
L1000000,부산
L1000000,울산
L1000000,세종
L1000000,울릉도.독도
0,전해상
S1000000,동해전해상
S1100000,동해남부전해상
S1130000,동해남부앞바다
S1131000,울산앞바다
S1131000,경북남부앞바다
S1131000,경북북부앞바다
S1130000,동해남부남쪽안쪽먼바다
S1130000,동해남부남쪽바깥먼바다
S1130000,동해남부북쪽안쪽먼바다
S1130000,동해남부북쪽바깥먼바다
S1100000,동해중부전해상
S1150000,동해중부앞바다
S1151000,강원북부앞바다
S1151000,강원중부앞바다
S1151000,강원남부앞바다
S1150000,동해중부안쪽먼바다
S1150000,동해중부바깥먼바다
S1000000,서해전해상
S1200000,서해남부전해상
S1230000,서해남부앞바다
S1231000,전북북부앞바다
S1231000,전북남부앞바다
S1231000,전남북부서해앞바다
S1231000,전남중부서해앞바다
S1231000,전남남부서해앞바다
S1230000,서해남부북쪽안쪽먼바다
S1230000,서해남부북쪽바깥먼바다
S1230000,서해남부남쪽안쪽먼바다
S1230000,서해남부남쪽바깥먼바다
S1200000,서해중부전해상
S1250000,서해중부앞바다
S1251000,인천·경기북부앞바다
S1251000,인천·경기남부앞바다
S1251000,충남북부앞바다
S1251000,충남남부앞바다
S1250000,서해중부안쪽먼바다
S1250000,서해중부바깥먼바다
S1000000,남해전해상
S1300000,남해동부전해상
S1310000,남해동부앞바다
S1311000,부산앞바다
S1311000,경남서부남해앞바다
S1311000,경남중부남해앞바다
S1311000,거제시동부앞바다
S1310000,남해동부안쪽먼바다
S1310000,남해동부바깥먼바다
S1300000,남해서부전해상
S1320000,남해서부앞바다
S1321000,전남서부남해앞바다
S1321000,전남동부남해앞바다
S1320000,남해서부서쪽먼바다
S1320000,남해서부동쪽먼바다
S1330000,제주도앞바다
S1323000,제주도북부앞바다
S1323000,제주도동부앞바다
S1323000,제주도남부앞바다
S1323000,제주도서부앞바다
S1330000,제주도남쪽바깥먼바다
S1330000,제주도남동쪽안쪽먼바다
S1330000,제주도남서쪽안쪽먼바다
S1300000,제주도전해상
S2000000,연안바다/평수구역
S2000000,경북남부앞바다중
S2000000,울산앞바다중
S2000000,경북북부앞바다중
S2000000,경북북부앞바다중
S2000000,경북남부앞바다중
S2000000,울산앞바다중
S2000000,강원중부앞바다중
S2000000,강원북부앞바다중
S2000000,강원남부앞바다중
S2000000,울릉도울릉읍연안바다
S2000000,울릉도서면연안바다
S2000000,울릉도북면연안바다
S2000000,전북북부앞바다중
S2000000,전북남부앞바다중
S2000000,전남북부서해앞바다중
S2000000,전남남부서해앞바다중
S2000000,충남남부앞바다중
S2000000,인천·경기남부앞바다중
S2000000,서해남부남쪽안쪽먼바다중
S2000000,전남중부서해앞바다중
S2000000,전남중부서해앞바다중
S2000000,천수만
S2000000,인천·경기남부앞바다중
S2000000,인천·경기남부앞바다중
S2000000,가로림만·당진
S2000000,안면도
S2000000,인천·경기북부앞바다중
S2000000,부산앞바다중
S2000000,부산앞바다중
S2000000,경남중부남해앞바다중
S2000000,경남서부남해앞바다중
S2000000,경남서부남해앞바다중
S2000000,경남서부남해앞바다중
S2000000,전남서부남해앞바다중
S2000000,전남동부남해앞바다중
S2000000,전남동부남해앞바다중
S2000000,부산앞바다중
S2000000,거제시동부앞바다중
S2000000,경남서부남해앞바다중
S2000000,제주도북부앞바다중
S2000000,제주도서부앞바다중
S2000000,제주도서부앞바다중
S2000000,제주도남부앞바다중
S2000000,경남중부남해앞바다중
S2000000,제주도동부앞바다중
S2000000,제주도동부앞바다중
S2000000,남해서부서쪽먼바다중
S2000000,제주도동부앞바다중
S2000000,제주도서부앞바다중
