L1000000, 전국
L1010000, 경기도
L1010200, 광명
L1010300, 과천
L1010400, 안산
L1010500, 시흥
L1010600, 부천
L1010700, 김포
L1010800, 인천
L1010900, 강화
L1011100, 동두천
L1011200, 연천
L1011300, 포천
L1011400, 가평
L1011500, 고양
L1011600, 양주
L1011700, 의정부
L1011800, 파주
L1011900, 수원
L1012000, 성남
L1012100, 안양
L1012200, 구리
L1012300, 남양주
L1012400, 오산
L1012500, 평택
L1012600, 군포
L1012700, 의왕
L1012800, 하남
L1012900, 용인
L1013000, 이천
L1013100, 안성
L1013200, 화성
L1013300, 여주
L1013400, 광주
L1013500, 양평
L1013600, 옹진
L1014000, 서해5도
L1014100, 서해5도
L1020000, 강원도
L1020110, 강릉평지
L1020210, 동해평지
L1020300, 태백
L1020410, 삼척평지
L1020510, 속초평지
L1020610, 고성평지
L1020710, 양양평지
L1020800, 영월
L1020910, 평창평지
L1021010, 정선평지
L1021100, 횡성
L1021200, 원주
L1021300, 철원
L1021400, 화천
L1021510, 홍천평지
L1021600, 춘천
L1021710, 양구평지
L1021810, 인제평지
L1025020, 강원북부산지
L1026020, 강원중부산지
L1027020, 강원남부산지
L1030000, 충청남도
L1030100, 대전
L1030200, 천안
L1030300, 공주
L1030400, 아산
L1030500, 논산
L1030600, 금산
L1030800, 부여
L1030900, 청양
L1031000, 예산
L1031100, 태안
L1031200, 당진
L1031300, 서산
L1031400, 보령
L1031500, 서천
L1031600, 홍성
L1031700, 계룡
L1031800, 세종
L1040000, 충청북도
L1040100, 청주
L1040300, 보은
L1040400, 괴산
L1040600, 옥천
L1040700, 영동
L1040800, 충주
L1040900, 제천
L1041000, 진천
L1041100, 음성
L1041200, 단양
L1041300, 증평
L1050000, 전라남도
L1050100, 광주
L1050200, 나주
L1050300, 담양
L1050400, 곡성
L1050500, 구례
L1050600, 장성
L1050700, 화순
L1050800, 고흥
L1050900, 보성
L1051000, 여수
L1051100, 광양
L1051200, 순천
L1051300, 장흥
L1051400, 강진
L1051500, 해남
L1051600, 완도
L1051700, 영암
L1051800, 무안
L1051900, 함평
L1052000, 영광
L1052100, 목포
L1052200, 신안(흑산면제외)
L1052300, 진도
L1052400, 흑산도.홍도
L1052500, 흑산도.홍도
L1052600, 거문도.초도
L1060000, 전북자치도
L1060100, 고창
L1060200, 부안
L1060300, 군산
L1060400, 김제
L1060500, 완주
L1060600, 진안
